,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
184,17.98,18.950001,17.52,18.950001,1437800,18.950001,57.66,7/9/2019,CRC,0.052193282,0.052193282,0.51938885,U
185,19.559999,20.08,19.01,19.559999,2066300,19.559999,57.83,7/10/2019,CRC,0.032189866,0.032189866,0.153953133,U
186,19.6,19.77,19.030001,19.25,1288900,19.25,60.43,7/11/2019,CRC,-0.01584862,-0.01584862,-0.206791318,D
187,19.51,19.870001,19.040001,19.65,1375900,19.65,60.2,7/12/2019,CRC,0.020779221,0.020779221,-2.257611131,D
188,19.85,20.129999,19.02,19.129999,1424100,19.129999,60.21,7/15/2019,CRC,-0.026463155,-0.026463155,-6.810033956,D
189,19.09,19.5,18.219999,18.360001,1509900,18.360001,59.58,7/16/2019,CRC,-0.040250812,-0.040250812,-8.607070507,D
190,18.33,18.33,15.35,15.52,5164000,15.52,57.62,7/17/2019,CRC,-0.154684142,-0.154684142,-2.028854824,D
191,15.36,15.52,14.1,14.22,5215700,14.22,56.808,7/18/2019,CRC,-0.083762887,-0.083762887,1.644586569,U
192,14.28,14.98,14.035,14.62,3059700,14.62,55.348,7/19/2019,CRC,0.028129395,0.028129395,2.386212992,U
193,14.68,15.3,14.4,14.94,2588500,14.94,55.708,7/22/2019,CRC,0.021887825,0.021887825,1.106530701,U
194,15.02,15.72,14.78,15.7,2537600,15.7,56.22,7/23/2019,CRC,0.050870147,0.050870147,-1.648947711,D
195,15.62,16.360001,15.21,15.45,2653300,15.45,56.77,7/24/2019,CRC,-0.015923567,-0.015923567,-0.680869756,D
196,15.63,15.66,14.83,14.94,1722500,14.94,55.88,7/25/2019,CRC,-0.033009709,-0.033009709,-2.0861678,D
197,14.83,15.295,14.625,15.14,1460500,15.14,56.02,7/26/2019,CRC,0.013386881,0.013386881,0.583482944,U
198,15.07,15.087,13.89,14.02,2155800,14.02,56.2,7/29/2019,CRC,-0.073976222,-0.073976222,2.88397049,U
199,13.98,15.54,13.81,15.4,2324100,15.4,56.87,7/30/2019,CRC,0.098430813,0.098430813,-5.225924236,D
200,15.52,16.200001,14.944,15.31,2184200,15.31,58.05,7/31/2019,CRC,-0.005844156,-0.005844156,-8.484247085,D
201,14.8,14.8,12.61,13.11,5220100,13.11,58.58,8/1/2019,CRC,-0.14369693,-0.14369693,-4.784162772,D
202,12.65,13.81,11.604,11.89,4169300,11.89,53.95,8/2/2019,CRC,-0.093058734,-0.093058734,-3.230543319,D
203,11.23,11.58,10.81,11.37,3187400,11.37,55.66,8/5/2019,CRC,-0.04373423,-0.04373423,-5.50660793,D
204,11.47,11.59,10.22,10.79,2965200,10.79,54.69,8/6/2019,CRC,-0.051011434,-0.051011434,-1.496421601,D
205,10.25,10.26,8.92,9.62,5525200,9.62,53.63,8/7/2019,CRC,-0.108433735,-0.108433735,1.760797342,U
206,10.09,10.71,9.7,10.33,3185800,10.33,51.09,8/8/2019,CRC,0.073804574,0.073804574,-0.12999675,D
207,10.67,10.78,9.85,10.15,2841200,10.15,52.54,8/9/2019,CRC,-0.017424976,-0.017424976,2.455357143,U
208,10.01,10.46,9.81,10.29,1844800,10.29,54.5,8/12/2019,CRC,0.013793103,0.013793103,-3.042198234,D
209,10.13,11.33,10.01,10.92,2256400,10.92,54.93,8/13/2019,CRC,0.06122449,0.06122449,-6.885919836,D
210,10.2,10.31,9.17,9.36,3144600,9.36,57.1,8/14/2019,CRC,-0.142857143,-0.142857143,1.462196862,U
211,9.2,9.3,8.9,8.91,2159300,8.91,55.23,8/15/2019,CRC,-0.048076923,-0.048076923,3.867595819,U
212,9.13,9.99,9.036,9.77,3427800,9.77,54.46,8/16/2019,CRC,0.096520763,0.096520763,-1.61567549,D
